V1,V2
D1202,TRUE
D1731,TRUE
D1387,TRUE
D2028,TRUE
D1851,TRUE
D1407,TRUE
D0185,TRUE
D2372,TRUE
D2311,TRUE
D2120,TRUE
D2668,TRUE
D0517,TRUE
D1945,TRUE
D0728,TRUE
D1681,TRUE
D1870,TRUE
D1263,TRUE
D1574,TRUE
D0555,TRUE
D0057,TRUE
D2941,TRUE
D1173,TRUE
D1642,TRUE
D1153,TRUE
D2520,TRUE
D0298,TRUE
D1464,TRUE
D2449,TRUE
D2450,TRUE
D1717,TRUE
D1679,TRUE
D0154,TRUE
D1414,TRUE
D0781,TRUE
D0964,TRUE
D2237,TRUE
D1632,TRUE
D2932,TRUE
D1378,TRUE
D2285,TRUE
D2843,TRUE
D1687,TRUE
D2725,TRUE
D0668,TRUE
D2172,TRUE
D1612,TRUE
D2703,TRUE
D1346,TRUE
D0064,TRUE
D1501,TRUE
D2070,TRUE
D0077,TRUE
D1912,TRUE
D0334,TRUE
D0513,TRUE
D1700,TRUE
D1241,TRUE
D0742,TRUE
D1230,TRUE
D0173,TRUE
D1874,TRUE
D2580,TRUE
D1907,TRUE
D0241,TRUE
D1692,TRUE
D1036,TRUE
D2290,TRUE
D1613,TRUE
D2720,TRUE
D1001,TRUE
D0355,TRUE
D0767,TRUE
D0963,TRUE
D0329,TRUE
D1476,TRUE
D2693,TRUE
D1434,TRUE
D0979,TRUE
D0700,TRUE
D2274,TRUE
D1250,TRUE
D0484,TRUE
D2813,TRUE
D1814,TRUE
D1985,TRUE
D2991,TRUE
D1890,TRUE
D0480,TRUE
D0589,TRUE
D1187,TRUE
D0263,TRUE
D1773,TRUE
D1430,TRUE
D0639,TRUE
D1901,TRUE
D1626,TRUE
D0223,TRUE
D0765,TRUE
D0863,TRUE
D0998,TRUE
D0101,TRUE
D1868,TRUE
D0105,TRUE
D2781,TRUE
D1674,TRUE
D2066,TRUE
D2235,TRUE
D1518,TRUE
D2019,TRUE
D2426,TRUE
D2298,TRUE
D2077,TRUE
D1098,TRUE
D1295,TRUE
D1508,TRUE
D1129,TRUE
D2861,TRUE
D1645,TRUE
D0430,TRUE
D1792,TRUE
D1554,TRUE
D2200,TRUE
D2850,TRUE
D1720,TRUE
D2834,TRUE
D1104,TRUE
D1562,TRUE
D0537,TRUE
D2264,TRUE
D0444,TRUE
D0246,TRUE
D2939,TRUE
D1737,TRUE
D0079,TRUE
D1547,TRUE
D2584,TRUE
D2541,TRUE
D1630,TRUE
D1269,TRUE
D1122,TRUE
D2012,TRUE
D2637,TRUE
D0036,TRUE
D0869,TRUE
D2134,TRUE
D1113,TRUE
D2045,TRUE
D0467,TRUE
D2163,TRUE
D1278,TRUE
D1094,TRUE
D0374,TRUE
D1090,TRUE
D0289,TRUE
D0739,TRUE
D2258,TRUE
D2918,TRUE
D1968,TRUE
D1834,TRUE
D1087,TRUE
D1981,TRUE
D0788,TRUE
D0651,TRUE
D1256,TRUE
D1442,TRUE
D2978,TRUE
D2684,TRUE
D2692,TRUE
D1364,TRUE
D0564,TRUE
D0901,TRUE
D1427,TRUE
D2815,TRUE
D2554,TRUE
D2135,TRUE
D0999,TRUE
D2357,TRUE
D0903,TRUE
D1833,TRUE
D1223,TRUE
D2884,TRUE
D2314,TRUE
D2033,TRUE
D1417,TRUE
D2959,TRUE
D2827,TRUE
D0599,TRUE
D2967,TRUE
D2128,TRUE
D1934,TRUE
D0927,TRUE
D1594,TRUE
D2013,TRUE
D1940,TRUE
D1395,TRUE
D2556,TRUE
D0070,TRUE
D2880,TRUE
D2764,TRUE
D2763,TRUE
D0176,TRUE
D1334,TRUE
D1318,TRUE
D1878,TRUE
D2514,TRUE
D2641,TRUE
D2087,TRUE
D0363,TRUE
D2144,TRUE
D0181,TRUE
D1408,TRUE
D2219,TRUE
D2902,TRUE
D1614,TRUE
D1829,TRUE
D0558,TRUE
D2817,TRUE
D1025,TRUE
D0540,TRUE
D1139,TRUE
D1931,TRUE
D1649,TRUE
D2846,TRUE
D0939,TRUE
D0051,TRUE
D1286,TRUE
D0358,TRUE
D2058,TRUE
D1914,TRUE
D2296,TRUE
D1657,TRUE
D2228,TRUE
D0870,TRUE
D1636,TRUE
D2785,TRUE
D1534,TRUE
D2926,TRUE
D0844,TRUE
D1026,TRUE
D2268,TRUE
D0664,TRUE
D2152,TRUE
D1161,TRUE
D1615,TRUE
D0824,TRUE
D1423,TRUE
D2100,TRUE
D0928,TRUE
D1947,TRUE
D0974,TRUE
D2078,TRUE
D0708,TRUE
D1041,TRUE
D1227,TRUE
D1763,TRUE
D2622,TRUE
D2618,TRUE
D1637,TRUE
D1809,TRUE
D0308,TRUE
D0392,TRUE
D1271,TRUE
D0579,TRUE
D2444,TRUE
D2080,TRUE
D0922,TRUE
D2469,TRUE
D2770,TRUE
D0087,TRUE
D1448,TRUE
D2277,TRUE
D2683,TRUE
D0785,TRUE
D1379,TRUE
D1292,TRUE
D1935,TRUE
D1539,TRUE
D1876,TRUE
D1677,TRUE
D2938,TRUE
D1435,TRUE
D0983,TRUE
D1032,TRUE
D1904,TRUE
D1070,TRUE
D0608,TRUE
D0553,TRUE
D1360,TRUE
D1298,TRUE
D1274,TRUE
D0060,TRUE
D2367,TRUE
D2466,TRUE
D2382,TRUE
D0177,TRUE
D0451,TRUE
D1983,TRUE
D2151,TRUE
D0454,TRUE
D0017,TRUE
D0086,TRUE
D1114,TRUE
D0989,TRUE
D0607,TRUE
D0283,TRUE
D2783,TRUE
D1431,TRUE
D0133,TRUE
D2924,TRUE
D0327,TRUE
D1178,TRUE
D2522,TRUE
D1955,TRUE
D2463,TRUE
D0902,TRUE
D1084,TRUE
D2389,TRUE
D1698,TRUE
D0840,TRUE
D2127,TRUE
D0524,TRUE
D0710,TRUE
D1399,TRUE
D0056,TRUE
D0784,TRUE
D1778,TRUE
D1177,TRUE
D1866,TRUE
D1118,TRUE
D2251,TRUE
D0735,TRUE
D1099,TRUE
D1860,TRUE
D1967,TRUE
D1163,TRUE
D1314,TRUE
D0094,TRUE
D0490,TRUE
D0026,TRUE
D2411,TRUE
D2021,TRUE
D0631,TRUE
D1762,TRUE
D0745,TRUE
D1745,TRUE
D2243,TRUE
D0458,TRUE
D2910,TRUE
D2160,TRUE
D1530,TRUE
D1524,TRUE
D2118,TRUE
D0990,TRUE
D2054,TRUE
D0281,TRUE
D2413,TRUE
D1883,TRUE
D0239,TRUE
D0800,TRUE
D1543,TRUE
D1416,TRUE
D1356,TRUE
D1893,TRUE
D2969,TRUE
D0806,TRUE
D2650,TRUE
D2222,TRUE
D1186,TRUE
D2757,TRUE
D2132,TRUE
D0269,TRUE
D0874,TRUE
D2936,TRUE
D1289,TRUE
D0326,TRUE
D2157,TRUE
D2117,TRUE
D1525,TRUE
D1884,TRUE
D1259,TRUE
D1007,TRUE
D0495,TRUE
D1167,TRUE
D0978,TRUE
D1247,TRUE
D1954,TRUE
D1273,TRUE
D1089,TRUE
D2190,TRUE
D1109,TRUE
D2140,TRUE
D0282,TRUE
D2708,TRUE
D2255,TRUE
D1768,TRUE
D2900,TRUE
D2881,TRUE
D1357,TRUE
D0226,TRUE
D0723,TRUE
D0750,TRUE
D2516,TRUE
D2999,TRUE
D1608,TRUE
D0582,TRUE
D1527,TRUE
D0305,TRUE
D0662,TRUE
D0280,TRUE
D2143,TRUE
