V1,V2
D2178,TRUE
D2057,TRUE
D1722,TRUE
D2759,TRUE
D2036,TRUE
D2836,TRUE
D1349,TRUE
D2634,TRUE
D1841,TRUE
D0172,TRUE
D1473,TRUE
D2626,TRUE
D0913,TRUE
D1892,TRUE
D1138,TRUE
D2320,TRUE
D2354,TRUE
D0959,TRUE
D1276,TRUE
D1810,TRUE
D1559,TRUE
D2557,TRUE
D1376,TRUE
D0046,TRUE
D1654,TRUE
D1865,TRUE
D2432,TRUE
D2108,TRUE
D0244,TRUE
D0849,TRUE
D0276,TRUE
D2195,TRUE
D1465,TRUE
D0547,TRUE
D2459,TRUE
D1127,TRUE
D2292,TRUE
D1027,TRUE
D0245,TRUE
D2461,TRUE
D1802,TRUE
D0777,TRUE
D1158,TRUE
D0406,TRUE
D2014,TRUE
D0333,TRUE
D0754,TRUE
D0720,TRUE
D0040,TRUE
D0641,TRUE
D1706,TRUE
D1623,TRUE
D2841,TRUE
D1961,TRUE
D2840,TRUE
D0980,TRUE
D1185,TRUE
D2091,TRUE
D2736,TRUE
D2267,TRUE
D1171,TRUE
D2122,TRUE
D0441,TRUE
D2829,TRUE
D0475,TRUE
D1020,TRUE
D0413,TRUE
D1735,TRUE
D1948,TRUE
D0130,TRUE
D1445,TRUE
D0319,TRUE
D1937,TRUE
D2026,TRUE
D1010,TRUE
D0386,TRUE
D1782,TRUE
D2662,TRUE
D1468,TRUE
D2473,TRUE
D0115,TRUE
D1156,TRUE
D0391,TRUE
D0340,TRUE
D2628,TRUE
D0481,TRUE
D2408,TRUE
D1477,TRUE
D2875,TRUE
D0073,TRUE
D0996,TRUE
D1192,TRUE
D1345,TRUE
D0629,TRUE
D1513,TRUE
D0421,TRUE
D2951,TRUE
D1771,TRUE
D1619,TRUE
D1933,TRUE
D1842,TRUE
D0602,TRUE
D2660,TRUE
D0783,TRUE
D2286,TRUE
D2398,TRUE
D1624,TRUE
D0604,TRUE
D2347,TRUE
D2240,TRUE
D1799,TRUE
D1307,TRUE
D0325,TRUE
D2896,TRUE
D1282,TRUE
D2802,TRUE
D0671,TRUE
D0674,TRUE
D0268,TRUE
D0029,TRUE
D2319,TRUE
D1915,TRUE
D1538,TRUE
D0813,TRUE
D2416,TRUE
D1336,TRUE
D2801,TRUE
D1875,TRUE
D1249,TRUE
D1570,TRUE
D1826,TRUE
D0003,TRUE
D2646,TRUE
D0493,TRUE
D1695,TRUE
D0085,TRUE
D2942,TRUE
D0931,TRUE
D0627,TRUE
D0565,TRUE
D2592,TRUE
D0408,TRUE
D0237,TRUE
D1463,TRUE
D0857,TRUE
D2170,TRUE
D1101,TRUE
D2101,TRUE
D1571,TRUE
D2313,TRUE
D2819,TRUE
D1401,TRUE
D2865,TRUE
D0823,TRUE
D0187,TRUE
D1812,TRUE
D2738,TRUE
D0294,TRUE
D0372,TRUE
D2435,TRUE
D0350,TRUE
D0586,TRUE
D1117,TRUE
D0760,TRUE
D0010,TRUE
D0574,TRUE
D1148,TRUE
D0438,TRUE
D2975,TRUE
D0494,TRUE
D1685,TRUE
D0212,TRUE
D0039,TRUE
D0022,TRUE
D2216,TRUE
D1861,TRUE
D1238,TRUE
D1800,TRUE
D1848,TRUE
D2950,TRUE
D2797,TRUE
D1939,TRUE
D2532,TRUE
D0619,TRUE
D2483,TRUE
D0139,TRUE
D1510,TRUE
D0341,TRUE
D2113,TRUE
D1244,TRUE
D0142,TRUE
D0307,TRUE
D0429,TRUE
D0908,TRUE
D1144,TRUE
D0370,TRUE
D2547,TRUE
D2488,TRUE
D0072,TRUE
D1992,TRUE
D1905,TRUE
D0343,TRUE
D0598,TRUE
D0617,TRUE
D1504,TRUE
D0195,TRUE
D1301,TRUE
D2750,TRUE
D2690,TRUE
D0952,TRUE
D0915,TRUE
D2472,TRUE
D0606,TRUE
D1917,TRUE
D0958,TRUE
D0337,TRUE
D2620,TRUE
D0768,TRUE
D2578,TRUE
D0278,TRUE
D0200,TRUE
D2305,TRUE
D0434,TRUE
D1804,TRUE
D0678,TRUE
D2594,TRUE
D1775,TRUE
D2002,TRUE
D2858,TRUE
D2721,TRUE
D2643,TRUE
D0344,TRUE
D2649,TRUE
D2933,TRUE
D2457,TRUE
D2756,TRUE
D2968,TRUE
D2704,TRUE
D1638,TRUE
D0119,TRUE
D2126,TRUE
D2221,TRUE
D2102,TRUE
D0703,TRUE
D0150,TRUE
D0545,TRUE
D2713,TRUE
D0630,TRUE
D2767,TRUE
D0394,TRUE
D1474,TRUE
D1021,TRUE
D2020,TRUE
D1018,TRUE
D2705,TRUE
D1852,TRUE
D2848,TRUE
D1409,TRUE
D2203,TRUE
D1085,TRUE
D0316,TRUE
D2631,TRUE
D1255,TRUE
D2422,TRUE
D1411,TRUE
D2974,TRUE
D2121,TRUE
D0657,TRUE
D0873,TRUE
D1494,TRUE
D2269,TRUE
D2830,TRUE
D2706,TRUE
D2263,TRUE
D2079,TRUE
D1115,TRUE
D2016,TRUE
D0428,TRUE
D1854,TRUE
D0544,TRUE
D0968,TRUE
D2400,TRUE
D2929,TRUE
D1872,TRUE
D2851,TRUE
D1391,TRUE
D2345,TRUE
D1164,TRUE
D2424,TRUE
D2531,TRUE
D0693,TRUE
D0414,TRUE
D2799,TRUE
D1776,TRUE
D1761,TRUE
D1512,TRUE
D1254,TRUE
D0138,TRUE
D1365,TRUE
D1889,TRUE
D2094,TRUE
D0153,TRUE
D2044,TRUE
D0899,TRUE
D2282,TRUE
D1858,TRUE
D0529,TRUE
D1490,TRUE
D2208,TRUE
D1406,TRUE
D2587,TRUE
D2395,TRUE
D1067,TRUE
D0059,TRUE
D1394,TRUE
D0521,TRUE
D0755,TRUE
D2304,TRUE
D1573,TRUE
D1243,TRUE
D0519,TRUE
D0214,TRUE
D0550,TRUE
D0776,TRUE
D1710,TRUE
D0802,TRUE
D0383,TRUE
D2374,TRUE
D1328,TRUE
D0238,TRUE
D0746,TRUE
D2153,TRUE
D1796,TRUE
D2605,TRUE
D2378,TRUE
D1275,TRUE
D2068,TRUE
D1019,TRUE
D0136,TRUE
D0566,TRUE
D2103,TRUE
D0855,TRUE
D0351,TRUE
D2535,TRUE
D1237,TRUE
D2385,TRUE
D0184,TRUE
D1116,TRUE
D1824,TRUE
D1502,TRUE
D0097,TRUE
D2487,TRUE
D0270,TRUE
D2619,TRUE
D1750,TRUE
D0500,TRUE
D2427,TRUE
D1105,TRUE
D2154,TRUE
D0028,TRUE
D1713,TRUE
D1110,TRUE
D0145,TRUE
D2148,TRUE
D0465,TRUE
D1124,TRUE
D1545,TRUE
D0961,TRUE
D2744,TRUE
D2887,TRUE
D1080,TRUE
D0400,TRUE
D2793,TRUE
D1980,TRUE
D2648,TRUE
D2225,TRUE
D2766,TRUE
D0213,TRUE
D0014,TRUE
D2173,TRUE
D0580,TRUE
D2289,TRUE
D1515,TRUE
D2496,TRUE
D1370,TRUE
D0453,TRUE
D2717,TRUE
D0403,TRUE
D2867,TRUE
D1212,TRUE
D1656,TRUE
D0918,TRUE
D1667,TRUE
D0679,TRUE
D2475,TRUE
D0125,TRUE
D0024,TRUE
D2242,TRUE
D2755,TRUE
D0387,TRUE
D0864,TRUE
D0208,TRUE
D0349,TRUE
D0848,TRUE
D2989,TRUE
D0313,TRUE
D2315,TRUE
D1629,TRUE
D1885,TRUE
D1491,TRUE
D1665,TRUE
D2790,TRUE
D1330,TRUE
D0479,TRUE
D0368,TRUE
D2056,TRUE
D0390,TRUE
D2324,TRUE
D0650,TRUE
D1863,TRUE
D2894,TRUE
D2816,TRUE
D0843,TRUE
D0384,TRUE
D1680,TRUE
D2609,TRUE
D2022,TRUE
D0472,TRUE
D2417,TRUE
D1216,TRUE
D2493,TRUE
D2774,TRUE
D1058,TRUE
D2776,TRUE
D1503,TRUE
D0835,TRUE
D2366,TRUE
D2561,TRUE
D1106,TRUE
D1756,TRUE
D2630,TRUE
D1452,TRUE
D1836,TRUE
D1531,TRUE
D1151,TRUE
D1772,TRUE
D1595,TRUE
D0695,TRUE
D1495,TRUE
D1074,TRUE
D1424,TRUE
D2230,TRUE
D2232,TRUE
D2350,TRUE
D1371,TRUE
D0470,TRUE
D0803,TRUE
D2397,TRUE
D0023,TRUE
D2639,TRUE
D1704,TRUE
D0045,TRUE
D1347,TRUE
D0660,TRUE
D0666,TRUE
D1561,TRUE
D1529,TRUE
D1240,TRUE
D2218,TRUE
D2591,TRUE
D1265,TRUE
D2949,TRUE
D2405,TRUE
D0037,TRUE
D1973,TRUE
D2212,TRUE
D1181,TRUE
D0951,TRUE
D1896,TRUE
D1280,TRUE
D1994,TRUE
D2111,TRUE
D0988,TRUE
D0347,TRUE
D0361,TRUE
D1029,TRUE
D2073,TRUE
D0230,TRUE
D1211,TRUE
D2893,TRUE
D0009,TRUE
D0966,TRUE
D2811,TRUE
D1672,TRUE
D2798,TRUE
D2832,TRUE
D2189,TRUE
D1034,TRUE
D1299,TRUE
D2652,TRUE
D1929,TRUE
D1341,TRUE
D1383,TRUE
D1317,TRUE
D2231,TRUE
D1578,TRUE
D1818,TRUE
D0132,TRUE
D0068,TRUE
D2297,TRUE
D0632,TRUE
D1766,TRUE
D0681,TRUE
D2042,TRUE
D1097,TRUE
D0527,TRUE
D0929,TRUE
D0215,TRUE
D0151,TRUE
D0143,TRUE
D0473,TRUE
D2911,TRUE
D0532,TRUE
D1838,TRUE
D0609,TRUE
D0956,TRUE
D0049,TRUE
D2145,TRUE
D2812,TRUE
D2254,TRUE
D2539,TRUE
D0442,TRUE
D2418,TRUE
D2964,TRUE
D1942,TRUE
D1470,TRUE
D0645,TRUE
D0265,TRUE
D2185,TRUE
D2039,TRUE
D2638,TRUE
D2494,TRUE
D2931,TRUE
D0727,TRUE
D1142,TRUE
D1803,TRUE
D2593,TRUE
D2352,TRUE
D2686,TRUE
D2067,TRUE
D0055,TRUE
D0135,TRUE
D0415,TRUE
D0188,TRUE
D0573,TRUE
D2679,TRUE
D1267,TRUE
D1599,TRUE
D2821,TRUE
D0652,TRUE
D0127,TRUE
D1925,TRUE
D0633,TRUE
D0930,TRUE
D1353,TRUE
D0792,TRUE
D2723,TRUE
D0155,TRUE
D0860,TRUE
D1620,TRUE
D1972,TRUE
D0512,TRUE
D0043,TRUE
D2833,TRUE
D1887,TRUE
D0100,TRUE
D2673,TRUE
D1991,TRUE
D1131,TRUE
D2301,TRUE
D1946,TRUE
D1003,TRUE
D1338,TRUE
D1969,TRUE
D1193,TRUE
D2961,TRUE
D0016,TRUE
D1962,TRUE
D1444,TRUE
D2973,TRUE
D0146,TRUE
D2670,TRUE
D2328,TRUE
D1203,TRUE
D1264,TRUE
D2590,TRUE
D2215,TRUE
D0431,TRUE
D1903,TRUE
D1390,TRUE
D1748,TRUE
D2777,TRUE
D1083,TRUE
D0080,TRUE
D2156,TRUE
D0851,TRUE
D0820,TRUE
D1197,TRUE
D1646,TRUE
D1519,TRUE
D1827,TRUE
D1572,TRUE
D2752,TRUE
D1217,TRUE
D1741,TRUE
D0690,TRUE
D0729,TRUE
D1405,TRUE
D2379,TRUE
D2714,TRUE
D0256,TRUE
D0830,TRUE
D2171,TRUE
D0482,TRUE
D1606,TRUE
D2898,TRUE
D0947,TRUE
D0099,TRUE
D2055,TRUE
D1754,TRUE
D1664,TRUE
D0551,TRUE
D0163,TRUE
D2115,TRUE
D2944,TRUE
D0522,TRUE
D2434,TRUE
D1288,TRUE
D2507,TRUE
D0889,TRUE
D0590,TRUE
D0074,TRUE
D2234,TRUE
D0518,TRUE
D0148,TRUE
D1206,TRUE
D1718,TRUE
D0161,TRUE
D2771,TRUE
D0318,TRUE
D0404,TRUE
D1198,TRUE
D2873,TRUE
D0067,TRUE
D2962,TRUE
D0867,TRUE
D0375,TRUE
D0084,TRUE
D2749,TRUE
D2621,TRUE
D1557,TRUE
D2098,TRUE
D2730,TRUE
D0957,TRUE
D2051,TRUE
D1075,TRUE
D0321,TRUE
D2142,TRUE
D0877,TRUE
D1488,TRUE
D2406,TRUE
D2498,TRUE
D2085,TRUE
D2180,TRUE
D0887,TRUE
D2976,TRUE
D2615,TRUE
D2141,TRUE
D1521,TRUE
D1208,TRUE
D0625,TRUE
D2525,TRUE
D1877,TRUE
D2272,TRUE
D2510,TRUE
D0898,TRUE
D0653,TRUE
D0749,TRUE
D0614,TRUE
D0487,TRUE
D0879,TRUE
D0196,TRUE
D0445,TRUE
D1415,TRUE
D1170,TRUE
D2365,TRUE
D0385,TRUE
D1157,TRUE
D1709,TRUE
D2820,TRUE
D1655,TRUE
D0647,TRUE
D2775,TRUE
D0971,TRUE
D1819,TRUE
D0058,TRUE
D2895,TRUE
D0309,TRUE
D2271,TRUE
D0164,TRUE
D1600,TRUE
D2747,TRUE
D2005,TRUE
D2672,TRUE
D2453,TRUE
D1941,TRUE
D1511,TRUE
D0348,TRUE
D1949,TRUE
D1690,TRUE
D2694,TRUE
D0189,TRUE
D2004,TRUE
D1787,TRUE
D1788,TRUE
D2280,TRUE
D1585,TRUE
D0159,TRUE
D1556,TRUE
D0259,TRUE
D2529,TRUE
D1108,TRUE
D0994,TRUE
D0944,TRUE
D0960,TRUE
D0377,TRUE
D2287,TRUE
D1302,TRUE
D1580,TRUE
D0826,TRUE
D1965,TRUE
D0818,TRUE
D2343,TRUE
D2854,TRUE
D0677,TRUE
D0919,TRUE
D1760,TRUE
D0202,TRUE
D2192,TRUE
D0585,TRUE
D0407,TRUE
D1734,TRUE
D2715,TRUE
D2095,TRUE
D2295,TRUE
D1172,TRUE
D2112,TRUE
D1385,TRUE
D1154,TRUE
D2549,TRUE
D2566,TRUE
D0508,TRUE
D0437,TRUE
D1061,TRUE
D0469,TRUE
D0425,TRUE
D2333,TRUE
D1120,TRUE
D2060,TRUE
D0201,TRUE
D1751,TRUE
D0380,TRUE
D2521,TRUE
D2448,TRUE
D1332,TRUE
D2589,TRUE
D1825,TRUE
D1650,TRUE
D2515,TRUE
D1319,TRUE
D1815,TRUE
D2484,TRUE
D2901,TRUE
D2954,TRUE
D0255,TRUE
D1922,TRUE
D0763,TRUE
D0774,TRUE
D1694,TRUE
D1425,TRUE
D2624,TRUE
D0091,TRUE
D0083,TRUE
D1847,TRUE
D1422,TRUE
D2464,TRUE
D2339,TRUE
D2201,TRUE
D0102,TRUE
D2244,TRUE
D0122,TRUE
D2992,TRUE
D2451,TRUE
D0486,TRUE
D1277,TRUE
D1471,TRUE
D2600,TRUE
D1226,TRUE
D1002,TRUE
D0891,TRUE
D2804,TRUE
D2984,TRUE
D0692,TRUE
D2970,TRUE
D0764,TRUE
D2291,TRUE
D2946,TRUE
D1721,TRUE
D0628,TRUE
D0034,TRUE
D1339,TRUE
D1209,TRUE
D1635,TRUE
D0062,TRUE
D2528,TRUE
D2511,TRUE
D2877,TRUE
D2596,TRUE
D2015,TRUE
D0552,TRUE
D0306,TRUE
D2017,TRUE
D1789,TRUE
D0452,TRUE
D0896,TRUE
D0955,TRUE
D2656,TRUE
D1400,TRUE
D2716,TRUE
D0426,TRUE
D2138,TRUE
D2147,TRUE
D2512,TRUE
D1165,TRUE
D2270,TRUE
D0427,TRUE
D1035,TRUE
D2116,TRUE
D2727,TRUE
D0021,TRUE
D0141,TRUE
D0884,TRUE
D0615,TRUE
D1853,TRUE
D1699,TRUE
D2810,TRUE
D2456,TRUE
D1591,TRUE
D2364,TRUE
D2823,TRUE
D0420,TRUE
D0295,TRUE
D1716,TRUE
D1544,TRUE
D2616,TRUE
D0773,TRUE
D0658,TRUE
D2536,TRUE
D0976,TRUE
D2737,TRUE
D0197,TRUE
D1354,TRUE
D2588,TRUE
D0962,TRUE
D2915,TRUE
D2937,TRUE
D0183,TRUE
D0709,TRUE
D1121,TRUE
D1989,TRUE
D2431,TRUE
D0546,TRUE
D2323,TRUE
D0381,TRUE
D0131,TRUE
D2904,TRUE
D1966,TRUE
D1882,TRUE
D2470,TRUE
D1257,TRUE
D2000,TRUE
D1684,TRUE
D2635,TRUE
D0315,TRUE
D0779,TRUE
D2403,TRUE
D2729,TRUE
D0725,TRUE
D2029,TRUE
D2050,TRUE
D2548,TRUE
D2047,TRUE
D1873,TRUE
D2629,TRUE
D0832,TRUE
D1327,TRUE
D2425,TRUE
D1218,TRUE
D2371,TRUE
D1069,TRUE
D0717,TRUE
D1952,TRUE
D1971,TRUE
D2471,TRUE
D0106,TRUE
D0331,TRUE
D0775,TRUE
D2442,TRUE
D1235,TRUE
D1225,TRUE
D2994,TRUE
D2625,TRUE
D2503,TRUE
D1344,TRUE
D2481,TRUE
D2174,TRUE
D2712,TRUE
D2253,TRUE
D0476,TRUE
D2671,TRUE
D1049,TRUE
D2458,TRUE
D0397,TRUE
D1149,TRUE
D0731,TRUE
D0035,TRUE
D2568,TRUE
D0850,TRUE
D2363,TRUE
D1930,TRUE
D2852,TRUE
D0782,TRUE
D0346,TRUE
D1233,TRUE
D2745,TRUE
D0081,TRUE
D0714,TRUE
D0715,TRUE
D0642,TRUE
D0250,TRUE
D0352,TRUE
D2803,TRUE
D0395,TRUE
D2700,TRUE
D1300,TRUE
D0277,TRUE
D2441,TRUE
D1125,TRUE
D2415,TRUE
D2093,TRUE
D1769,TRUE
D2575,TRUE
D0261,TRUE
D2384,TRUE
D0194,TRUE
D0468,TRUE
D1266,TRUE
D0345,TRUE
D2438,TRUE
D2917,TRUE
D0753,TRUE
D2838,TRUE
D2299,TRUE
D1801,TRUE
D0338,TRUE
D1500,TRUE
D1670,TRUE
D2262,TRUE
D1081,TRUE
D1179,TRUE
D2934,TRUE
D0501,TRUE
D0204,TRUE
D0663,TRUE
D2359,TRUE
D2246,TRUE
D1499,TRUE
D2787,TRUE
D2202,TRUE
D1065,TRUE
D0772,TRUE
D0015,TRUE
D1640,TRUE
D1429,TRUE
D0297,TRUE
D2046,TRUE
D0623,TRUE
D2119,TRUE
D2791,TRUE
D2205,TRUE
D1011,TRUE
D1739,TRUE
D1793,TRUE
D0557,TRUE
D1168,TRUE
D1535,TRUE
D1563,TRUE
D2130,TRUE
D2960,TRUE
D1586,TRUE
D0063,TRUE
D2227,TRUE
D1643,TRUE
D1272,TRUE
D0881,TRUE
D0924,TRUE
D2035,TRUE
D1009,TRUE
D2844,TRUE
D2293,TRUE
D1313,TRUE
D0575,TRUE
D0356,TRUE
D0211,TRUE
D0581,TRUE
D0330,TRUE
D1306,TRUE
D1666,TRUE
D0002,TRUE
D2872,TRUE
D0906,TRUE
D1053,TRUE
D2601,TRUE
D2150,TRUE
D2972,TRUE
D2526,TRUE
D1998,TRUE
D2645,TRUE
D0659,TRUE
D1485,TRUE
D1846,TRUE
D1119,TRUE
D1610,TRUE
D1005,TRUE
D0740,TRUE
D0006,TRUE
D2581,TRUE
D2888,TRUE
D0031,TRUE
D2217,TRUE
D2155,TRUE
D1902,TRUE
D0791,TRUE
D1373,TRUE
D1702,TRUE
D2667,TRUE
D2871,TRUE
D1598,TRUE
D1150,TRUE
D0670,TRUE
D1176,TRUE
D1426,TRUE
D0831,TRUE
D2306,TRUE
D1835,TRUE
D2985,TRUE
D0446,TRUE
D2256,TRUE
D1152,TRUE
D0285,TRUE
D2595,TRUE
D1765,TRUE
D0833,TRUE
D0970,TRUE
D0030,TRUE
D2110,TRUE
D2664,TRUE
D2492,TRUE
D2754,TRUE
D0301,TRUE
D2607,TRUE
D2370,TRUE
D1988,TRUE
D2597,TRUE
D0157,TRUE
D0012,TRUE
D1634,TRUE
D2497,TRUE
D1805,TRUE
D2795,TRUE
D0322,TRUE
D0405,TRUE
D2633,TRUE
D1900,TRUE
D1060,TRUE
D2883,TRUE
D0718,TRUE
D2188,TRUE
D0170,TRUE
D0354,TRUE
D1496,TRUE
D1894,TRUE
D0310,TRUE
D1146,TRUE
D0900,TRUE
D0865,TRUE
D1592,TRUE
D1258,TRUE
D1308,TRUE
D1759,TRUE
D1774,TRUE
D2429,TRUE
D1936,TRUE
D1568,TRUE
D0174,TRUE
D2676,TRUE
D0279,TRUE
D2137,TRUE
D1673,TRUE
D2423,TRUE
D2437,TRUE
D1436,TRUE
D2509,TRUE
D2734,TRUE
D1548,TRUE
D1583,TRUE
D2316,TRUE
D2857,TRUE
D0841,TRUE
D2038,TRUE
D0376,TRUE
D1038,TRUE
D0233,TRUE
D1601,TRUE
D2640,TRUE
D2175,TRUE
D1039,TRUE
D0770,TRUE
D1291,TRUE
D2651,TRUE
D2773,TRUE
D0761,TRUE
D2099,TRUE
D0621,TRUE
